Social Security Number,Name,Race,Country,Sentence_lenght
888-71-2665,Guglielma Blazevic,Central American,China,65
738-26-8990,Bondie Wieprecht,Cuban,Indonesia,295
656-53-4669,Brandy Chaffen,Cree,Palestinian Territory,232
332-53-3272,Fair Hune,Peruvian,Portugal,283
827-07-2277,Alvera Eggar,Ecuadorian,Indonesia,73
406-03-6818,Bendix Linley,Pakistani,Poland,383
184-09-3967,Noemi Knutton,Tohono O'Odham,Democratic Republic of the Congo,51
497-52-1033,Aurelie Simms,Costa Rican,Norway,185
131-72-4803,Adria Withur,Cuban,Thailand,210
896-41-9975,Selia Macrae,Colville,Brazil,200
310-51-0725,Harry Thelwll,Apache,China,201
503-79-2782,Meggi Forseith,Puerto Rican,Ukraine,177
885-88-5591,Raymond Matteacci,Native Hawaiian,Botswana,118
564-98-8385,Merl Crielly,Alaska Native,Nigeria,49
249-19-3344,Judas Amy,Cuban,Haiti,297
605-66-1630,Wernher Collingridge,Latin American Indian,Greece,44
395-63-7195,Ignace Sarl,Chamorro,Philippines,284
466-70-5956,Paule Faithfull,Peruvian,Indonesia,7
380-99-4837,Vincents Horrigan,Venezuelan,Philippines,26
670-87-3329,Hieronymus Ind,Chamorro,Chad,52
199-97-3821,Bonnee McNicol,Tlingit-Haida,Philippines,6
234-73-9474,Chev Robez,Tohono O'Odham,Canada,59
368-05-1037,Kliment Mabbutt,Guamanian,Colombia,383
797-85-3925,Cybil Symson,Guatemalan,China,1
578-20-6634,Iolande M'Quharg,Cherokee,North Korea,97
857-73-0569,Darbee Hamblington,Vietnamese,Botswana,341
644-22-6536,Hadria Ricardon,Melanesian,Japan,272
851-02-6459,Star Bare,Pima,China,56
119-89-3317,Adora Tooth,Delaware,Honduras,106
878-16-0747,Anatole Gascone,Cree,Brazil,10
519-34-5281,Harland Gosker,Tlingit-Haida,China,163
179-40-0280,Irwin Alves,Puerto Rican,France,98
202-10-2076,Starlene Marler,Puget Sound Salish,Vietnam,37
399-32-5478,Lonnie Groarty,Osage,China,158
266-77-2029,Ernestine Kendal,Colville,Greece,163
641-62-7474,Sybil Grimolbie,Blackfeet,Poland,170
263-12-5518,Clevey Jorry,Uruguayan,Argentina,310
715-49-7881,Isidro McKenna,Navajo,Thailand,58
295-11-0112,Feliks Hassent,Laotian,Guyana,299
169-85-4940,Gloriana Fretter,Alaskan Athabascan,China,23
658-43-2450,Marja Mulheron,Eskimo,Kazakhstan,146
550-01-9859,Lorilyn Peschmann,Navajo,Brazil,376
573-09-0018,Berty Wickrath,Tohono O'Odham,Panama,301
326-29-4155,Hortensia Suscens,Aleut,France,209
475-70-9701,Hamilton Kencott,South American,New Zealand,189
605-96-9363,Cully McIlhatton,Chamorro,China,3
786-27-5701,Gaelan Freeman,Tohono O'Odham,China,335
305-44-9107,Archie Vitler,Dominican (Dominican Republic),China,39
873-50-1717,Wandie Burgett,Costa Rican,Colombia,396
435-25-7646,Jenny Hollows,Cree,Egypt,237
167-92-0009,Leta Gislebert,Lumbee,Ukraine,149
403-01-0687,Dmitri Cahalan,Shoshone,Sweden,98
895-25-3734,Maurizio Patron,Asian,South Africa,208
676-15-3170,Della Corzon,Cheyenne,Burkina Faso,64
304-12-3764,Jinny Fysh,Osage,Russia,250
239-03-0654,Milli Martinello,Malaysian,Syria,14
480-64-1039,Mathias Arnison,Nicaraguan,Bangladesh,7
612-74-9550,Alice Horsell,Chinese,Colombia,102
472-08-4957,Dominik Lesurf,Alaskan Athabascan,China,63
315-70-3927,Nester Ramelet,Ute,Ukraine,15
223-48-4086,Roman Margerison,Indonesian,China,180
818-51-2341,Evangelin Cromarty,Thai,Peru,246
201-92-9475,Eliot Coast,Bangladeshi,Lithuania,163
696-50-3078,Natalina Hagan,Paraguayan,China,129
355-65-0338,Nikki Ruhben,Seminole,Mexico,127
760-39-0120,Lyman Pottle,Samoan,Indonesia,351
347-72-9758,Orly Shorie,Bolivian,Indonesia,216
434-42-1417,Barbra Selbie,Asian Indian,France,12
378-42-8939,Betti Huke,Black or African American,Indonesia,185
244-68-6791,Nissa Peile,Sri Lankan,China,17
842-28-0443,Corty Grimm,American Indian,Poland,344
477-13-6880,Sherilyn De Ortega,Chilean,Brazil,345
188-50-9913,Marna Danes,Iroquois,China,308
501-28-6983,Zonda Antunes,Ottawa,Serbia,268
702-38-0140,Erny Jubb,Bolivian,Portugal,212
737-42-6581,Alexis Melmoth,Salvadoran,Portugal,150
794-21-2509,Franky Conerding,Yuman,China,343
787-36-6117,Caldwell Torrejon,Tlingit-Haida,Indonesia,308
514-89-9748,Evangelia Shatford,Alaska Native,China,342
818-37-7288,Gasparo Edgeley,Crow,Kazakhstan,309
727-20-0476,Donnie Sim,Yaqui,Ukraine,179
771-10-3903,Tadeo Millwall,Asian,China,365
720-31-4232,Diandra Gildersleaves,Central American,France,136
426-76-8247,Leda Withey,Argentinian,China,276
356-65-6215,Merrel Docket,Central American,China,350
511-30-9610,Becka MacGillacolm,Puget Sound Salish,Japan,379
550-34-9050,Carlina Cornelis,Bolivian,Israel,71
197-39-1308,Vivi Guidelli,Tlingit-Haida,China,375
468-57-8777,Nikolos Pablo,Chickasaw,Czech Republic,241
699-85-2724,Donni Tame,Cree,Denmark,219
376-59-0681,Reyna Idale,Cuban,Yemen,165
387-02-9450,Noby Gregon,Iroquois,China,395
271-66-4779,Olivie Pheazey,Puget Sound Salish,Indonesia,361
330-62-4464,Jamey Lafond,Tohono O'Odham,Portugal,92
643-62-0535,Berthe Rizzardini,Guamanian,Japan,31
387-53-3731,Lavinia MacLoughlin,Puget Sound Salish,China,47
367-76-9770,Bayard Tollemache,Salvadoran,Macedonia,357
416-45-3520,Cordy Casewell,Micronesian,Indonesia,218
333-89-1760,Selene Floris,Asian Indian,Sweden,22
402-87-5090,Garrek Burditt,Chamorro,Kenya,196
339-53-2098,Mathian Binder,Uruguayan,Ireland,9
541-48-7259,Tommie Doge,Lumbee,China,224
445-43-7438,Yuma Hyrons,Cree,Djibouti,289
817-08-3592,Mata Croxley,Black or African American,China,374
749-36-1667,Mela Ondracek,Yuman,Ukraine,362
868-31-6699,Janela Moscone,Nicaraguan,Venezuela,338
261-99-1500,Orin Skiggs,Puget Sound Salish,United States,154
567-98-3728,Isabelita Mullally,Creek,Botswana,162
667-42-2824,Talyah Esley,Central American,Ukraine,280
457-67-2411,Franky Astle,Tlingit-Haida,Kazakhstan,330
543-90-3646,Alejandra Bridson,Asian Indian,Indonesia,341
706-02-0291,Valera Ximenez,Alaskan Athabascan,China,108
345-61-6551,Eudora Beeho,Korean,Indonesia,135
540-45-7500,Aurel Ubach,Argentinian,Armenia,310
596-15-3206,Kilian Caulket,Paraguayan,Russia,110
830-77-0330,Allsun MacConnal,Korean,China,361
171-77-5072,Dottie Norkutt,Creek,Comoros,301
352-83-7815,Bonnie Newlin,Paraguayan,France,6
852-88-5898,Maje Buckney,Seminole,Philippines,176
333-06-3504,Rees Lorenzin,Indonesian,Japan,103
802-70-3788,Winn Warre,Alaska Native,Russia,391
423-40-6571,Flore Pedracci,Samoan,Anguilla,356
664-74-9015,Klaus Tilliard,Cambodian,Indonesia,106
717-95-5870,Fran Carefull,Central American,Philippines,241
419-45-6271,Rriocard Merriton,Micronesian,China,213
270-05-2609,Paige Jendas,Yaqui,Armenia,354
313-73-9192,Algernon Manderson,Cherokee,China,148
746-16-0110,Catie Sawdy,Paiute,Malta,214
392-13-9088,Zorine Scollard,Yakama,Colombia,184
136-41-3884,Taryn Castagnaro,Salvadoran,China,239
215-53-7213,Derk Twigg,Blackfeet,China,321
269-52-3438,Kellyann O'Cannavan,Micronesian,China,328
702-97-3031,Dennison Card,Chilean,Vietnam,49
771-83-1688,Gretchen Lambirth,Eskimo,United States,40
700-97-7479,Dannie Twiggins,Malaysian,Mali,123
608-59-9335,Reginald Shemelt,Native Hawaiian,China,399
875-21-1168,Starr Dilawey,Ecuadorian,Indonesia,149
752-94-8344,Cherise Machon,Pima,Macedonia,276
558-11-7003,Gearalt Whal,Peruvian,China,142
191-60-5561,Dorella Sarfas,Colombian,Cuba,30
799-74-2723,Gwennie Handmore,Tongan,Egypt,297
134-01-9140,Lacee Gaishson,Costa Rican,Bolivia,387
667-23-1975,Hugibert De Carolis,Guatemalan,Argentina,158
743-51-0410,Diena Issitt,Hmong,Canada,229
690-06-8992,Vittorio Ayce,Native Hawaiian and Other Pacific Islander (NHPI),Ukraine,287
145-12-9957,Liz Currey,Choctaw,Bolivia,334
625-01-5540,Glenda Casewell,Honduran,Portugal,357
557-74-3862,Torre Cawte,Kiowa,Russia,89
392-58-5828,Ana Neiland,Delaware,Armenia,340
192-83-0015,Kristine Durrett,Yaqui,Indonesia,390
561-98-7136,Maureen Marrion,Central American,Philippines,215
195-18-1093,Maude Scare,Tohono O'Odham,United States,27
421-82-2179,Maddi Farleigh,Tohono O'Odham,Afghanistan,285
266-60-8504,Hendrika Cottey,Thai,Indonesia,257
218-28-7765,Vere Brumfitt,Japanese,Japan,74
580-39-3067,Carl Vermer,Paraguayan,Benin,361
300-11-4520,Gearalt Roskelley,Shoshone,Sweden,189
499-88-2101,Zsa zsa Rosenkrantz,Chilean,Niger,291
327-76-9300,Brooks Andres,Potawatomi,Philippines,50
622-42-2442,Clarette Coppeard,Laotian,China,122
708-66-6722,Kalie Brugman,Aleut,Indonesia,80
443-13-2618,Eadie Beeck,Spaniard,Indonesia,291
235-81-9189,Ely Creavan,Asian Indian,China,63
636-01-4392,Mitchel Gladdor,Latin American Indian,Brazil,101
452-76-7363,Odette Waylett,Honduran,Czech Republic,79
770-10-2720,Merle Le Fleming,Paraguayan,Portugal,193
542-95-4916,Inigo Venneur,Alaskan Athabascan,Russia,38
730-89-1958,Siana Gozzard,Melanesian,Philippines,26
240-20-9386,Cariotta Logesdale,Sioux,Yemen,16
136-59-7017,Carmine Powner,Asian Indian,China,361
485-53-8627,Maximo Donizeau,Menominee,Indonesia,98
263-58-5034,Tim Guerro,Latin American Indian,Croatia,167
154-59-7585,Effie O'Neal,Cheyenne,South Korea,210
550-63-4757,Ricard Waskett,Choctaw,Portugal,357
274-90-1332,Codee Macewan,Yakama,China,331
143-36-1855,Lavena Creane,Pueblo,Indonesia,366
237-50-7855,Stavros Spargo,Dominican (Dominican Republic),China,57
825-95-8825,Raine Bjorkan,Tlingit-Haida,Portugal,111
275-93-1580,Louella Gerdts,Yakama,Uzbekistan,376
646-39-9853,Agatha Doblin,Costa Rican,Indonesia,242
839-51-1709,Taddeo Scotchforth,Thai,Mexico,241
736-20-7974,Galen Shafier,Ecuadorian,North Korea,246
847-54-2849,Anthony Jakubovsky,Laotian,Russia,80
418-30-6047,Florentia Bunten,Kiowa,United States,43
787-19-7718,Ruthanne Cavell,Tongan,China,263
151-31-5230,Leonerd Bottoner,Tlingit-Haida,France,278
182-50-6133,Barby Bertram,Colombian,Argentina,79
165-83-1333,Alexander Esposito,Spaniard,Sri Lanka,195
790-98-8068,Gualterio Haysar,Navajo,Ukraine,203
634-89-6153,Myriam Fosten,Paraguayan,China,74
528-36-8953,Verna Gianotti,Thai,China,43
177-42-8228,Carri Farley,Fijian,Philippines,392
324-66-6642,Linn Somerbell,Thai,China,54
505-98-3414,Janelle Woolland,Cherokee,Greece,149
633-92-4977,Dorthea Lanceley,Native Hawaiian and Other Pacific Islander (NHPI),Russia,257
769-02-2767,Ilene Reaveley,Filipino,Brazil,339
302-21-3373,Kylie Runham,Navajo,Brazil,99
263-36-4556,Carly Chestnutt,Japanese,United States,348
651-45-4374,Torrin Mateos,Samoan,Bahamas,33
148-10-4850,Becky Jeandet,Iroquois,Poland,375
568-99-4974,Templeton Rahill,Colombian,Macedonia,385
119-61-5649,Elvira Duffield,Latin American Indian,Bangladesh,259
157-21-8806,Dosi Bartram,Pueblo,Sweden,335
260-21-0303,Fianna Luckett,Cree,China,125
861-93-0107,Mela Dory,Costa Rican,Dominican Republic,311
658-70-3022,Sig Dearell,Seminole,Portugal,52
322-12-7278,Nixie Bellchamber,Yakama,France,235
843-90-1307,Adrianne McDougle,Colville,Bangladesh,321
257-39-8280,Frazer Lankford,Panamanian,Russia,13
576-95-6391,Cecilio Lovell,Pakistani,Russia,242
271-29-4898,Marj Edelman,Melanesian,China,355
455-30-4519,Morgen Baison,Pakistani,China,246
342-49-4016,Frayda Kirkebye,Uruguayan,Canada,371
381-71-5513,Berny Wisbey,Colville,China,214
640-91-9186,Nancie Briand,South American,Japan,69
772-13-6861,Augustus Addeycott,Thai,Indonesia,306
858-20-6848,Orson Brumfield,Sioux,Honduras,204
502-74-2001,Jordana Deaves,Lumbee,China,123
698-57-7152,Steve Spurden,Creek,Russia,369
267-42-0669,Gasper Moryson,Vietnamese,Kenya,270
191-22-0723,Dara Lerwill,Comanche,Brazil,357
256-14-0875,Corene O'Carmody,Paiute,Peru,176
644-54-3384,Michele Spraging,Cuban,China,285
150-08-7032,Neale Blais,Osage,United States,328
360-33-7131,Danit Grisedale,Japanese,France,108
586-55-0009,Sibeal Iacavone,Pueblo,Sweden,26
346-95-4992,Harlan de Villier,Chippewa,Indonesia,125
677-89-5121,Brinna Lehon,Ecuadorian,Armenia,362
781-40-6890,Mathias Fawdrie,Guatemalan,Japan,123
453-84-6694,Fairlie Jewsbury,Navajo,Japan,93
898-26-5028,Carmel Ilott,Paraguayan,Sweden,368
415-05-5661,Sammy Angell,Menominee,Czech Republic,351
424-82-5041,Lonnie Swinden,Apache,Portugal,65
320-08-4473,Doe Bowness,Iroquois,Indonesia,80
387-96-6585,Damon Carlow,Chamorro,Dominican Republic,10
213-82-1083,Michael Chadbourne,Pueblo,Poland,193
156-38-0815,Zaneta Fulep,Native Hawaiian and Other Pacific Islander (NHPI),Indonesia,294
663-35-6620,Pedro O'Scully,Vietnamese,Japan,102
785-67-6024,Eada Di Maggio,Salvadoran,China,165
615-17-7480,Shelli Kmieciak,Panamanian,Indonesia,187
409-57-4249,Wendy Constantinou,Guatemalan,Ukraine,19
444-31-6638,Talya Byles,Filipino,Czech Republic,189
158-63-6385,Uri Thornthwaite,Chamorro,Sweden,152
236-03-5531,Merrielle Tarpey,Chickasaw,Philippines,42
703-69-8852,Vevay Northen,Creek,China,274
333-04-6207,Farlee Duffer,Colombian,Lithuania,122
618-50-5171,Osmund Krause,Filipino,Malaysia,213
346-92-5962,Florian Jurek,Ecuadorian,Kyrgyzstan,135
180-92-1743,Trumaine Simonetto,South American,Indonesia,69
778-98-5230,Say Karpenko,American Indian,Indonesia,273
248-52-8275,Tracy Brokenshaw,Salvadoran,Sweden,200
246-27-2517,Tedman Cabera,Comanche,Azerbaijan,323
887-31-8690,Salome Giabuzzi,Pima,Mauritius,334
649-99-2013,Shayne Hounsome,Choctaw,Norway,148
199-98-3826,Linn Rutherfoord,Potawatomi,Sweden,119
186-07-9303,Myrta Liddyard,Osage,China,117
855-67-2674,Carley Bestiman,Melanesian,Indonesia,375
736-09-6032,Wayne Dow,Ute,Argentina,276
145-26-5318,Catherine Kennington,Dominican (Dominican Republic),Philippines,221
341-30-2507,Carol-jean Malletratt,Cheyenne,Venezuela,69
797-39-8499,Becky Freen,Central American,Peru,263
484-61-4791,Fredrick Padly,Comanche,Greece,134
110-36-1611,Cecil Pether,Guamanian,Philippines,342
689-90-2461,Ibby Schlagh,Puerto Rican,Indonesia,206
442-32-2468,Crawford Prate,Malaysian,Brazil,154
729-65-5393,Binnie Josef,Fijian,Thailand,231
792-41-6034,Melisande Leggen,Choctaw,Cuba,354
130-91-2455,Cobbie Leadstone,Ecuadorian,Vietnam,101
810-86-2245,Maurine Haseldine,Bolivian,Iran,52
125-93-5611,Amanda Duley,Pakistani,China,245
413-71-6992,Magdalena Mengue,Navajo,China,213
443-62-6166,Lorilee Rought,Guamanian,France,73
414-20-4113,Jolie Getch,Shoshone,Poland,221
318-87-1152,Marianna Grewe,Guamanian,Mali,99
249-47-4413,Daria Hum,Tongan,Indonesia,393
314-21-0632,Hilliard Creenan,Japanese,Portugal,41
655-06-2714,Shae Mains,Cherokee,France,354
580-01-6177,Bernardine MacArthur,Ecuadorian,China,294
208-68-1298,Jephthah Wilcinskis,Bolivian,Russia,93
838-36-0450,Lia Kleyn,Apache,Syria,188
686-49-3645,Chloette Ahlin,Chamorro,Brazil,37
516-78-2445,Oswell Dreier,Chinese,Vietnam,364
380-36-4119,Andreana Shackell,Tlingit-Haida,China,140
727-62-0166,Rochester Sweynson,Sioux,China,157
385-39-8620,Olag Gaynes,Ecuadorian,Palestinian Territory,325
570-21-0972,Janaya Cheale,Salvadoran,New Zealand,138
747-56-6366,Sadie Jakab,Ottawa,China,176
311-84-6765,Donni Worsell,Cambodian,China,281
397-86-6252,Thia Corbould,Ecuadorian,Indonesia,330
555-95-8392,Arthur Sabates,Apache,France,104
557-54-0114,Cyndy Hutchings,Vietnamese,China,131
493-29-7931,Arty Songist,Menominee,Vietnam,352
864-19-7216,Michale Bearfoot,Dominican (Dominican Republic),Malaysia,341
826-97-4799,Albert Stonehouse,Dominican (Dominican Republic),Philippines,136
870-20-6295,Karina Bassham,Filipino,Indonesia,240
843-82-9003,Hendrick Riedel,Thai,China,306
569-28-2603,Romeo Whapham,Crow,Brazil,250
236-20-7574,Stella Caws,Japanese,Russia,333
541-08-7846,Millisent Bache,Tlingit-Haida,Brazil,398
692-16-6126,Naomi Tregunna,American Indian and Alaska Native (AIAN),Panama,325
144-85-9480,Felicia Marwood,Aleut,Brazil,280
296-63-0439,Addie Verecker,Choctaw,France,17
819-33-3417,Modestia Beggan,Mexican,Russia,13
798-84-7304,Donal Neles,Venezuelan,France,383
179-86-3629,Eugene Viall,Menominee,Kazakhstan,82
342-55-7806,Silas Streatfeild,Asian,Russia,370
218-63-4087,Carolee le Keux,Delaware,Indonesia,145
441-29-0439,Victoria Seal,Bolivian,Czech Republic,349
589-57-8167,Lorianna Athey,Chilean,South Korea,133
279-55-8171,Adler Kelberer,Crow,Venezuela,94
725-69-8552,Federico Delf,Ottawa,Philippines,225
152-79-4257,Gordan Bungey,American Indian,China,68
651-04-0011,Humfried Creasey,Sioux,Peru,113
655-05-4121,Prue Goodsir,Yaqui,Poland,259
681-80-1045,Niccolo Darnbrook,Houma,China,136
387-13-3523,Cody Crew,Panamanian,Argentina,242
220-82-8790,Gerik Robelow,Thai,Greece,220
762-31-3081,Filbert Wilcot,Argentinian,China,272
383-28-0599,Carlyn Jacks,Black or African American,United States,357
211-79-0762,Chery Samart,Aleut,Somalia,337
772-53-7117,Larisa Reyner,Ute,Russia,312
378-91-5974,Chrissy Cawdell,Korean,China,359
722-95-3106,Paule Hacquel,Filipino,China,80
255-56-7470,Jaclin Isted,Hmong,Morocco,122
173-92-4323,Tiebold Cristoforo,Bangladeshi,Switzerland,336
